protein,gene,A115,A116,A133,A134,A140,A144,A152,A113,A114,A118,A120,A136,A137,A139,A141,A143,A146,A147,A153,A117,A142,A148
SR140,U2SURP,8243900,8603500,5693200,6063400,14968000,9368900,11019000,15000000,16144000,7580700,4937900,6976500,9735500,3657900,2633600,3028000,7591400,15224000,6313800,7722000,10596000,18147000
TXND5,TXNDC5,223260000,178570000,241370000,156810000,394930000,232480000,345410000,378300000,210200000,472550000,90206000,204440000,50879000,63139000,331760000,163930000,286390000,173730000,167180000,127610000,178520000,756670000
BIN2,BIN2,2292700,1165700,6407100,5360100,9367900,6830400,5662000,4051400,6343800,9965500,1810700,3591500,2695800,5457300,4674300,3056300,5490100,4731900,5637700,6092000,6846300,16263000
BCCIP,BCCIP,7307900,6400400,3456300,1832700,8617100,6358700,17175000,4688800,7353100,5759000,1441800,1432500,3126100,106250,8349300,444260,23600000,27832000,2503600,6533400,4704600,19006000
GAK,GAK,4039000,4727100,3224300,3954500,7500200,6622400,4639400,3083000,4108200,4529400,2731900,3324400,3000900,1174100,3719500,2136900,5043000,7698700,3450300,4261900,4514700,7906400
NU1M,MT-ND1,5957100,1596000,1317600,1685300,2976100,2605200,3880600,1489300,1113300,NA,733080,471370,1134500,2673000,2427500,719590,3221200,2541400,922660,1823800,2542400,6567300
DSRAD,ADAR,13998000,37706000,21222000,10295000,35987000,47216000,27630000,16077000,12114000,19641000,9460500,18019000,13586000,3739400,34367000,6947500,58892000,48501000,14531000,27471000,15551000,37519000
ENOG,ENO2,29181000,70211000,11046000,24508000,56180000,46394000,65657000,20843000,39279000,16817000,12902000,10970000,20087000,9453700,35222000,9880900,33402000,187060000,28822000,20019000,34668000,35417000
RSU1,RSU1,26385000,30952000,29411000,24639000,25077000,34688000,19430000,27177000,28526000,25664000,14297000,20141000,20263000,12690000,49059000,12090000,38504000,33566000,57383000,35771000,44214000,45120000
TPMT,TPMT,5990200,9603000,8352400,7684300,5161800,9252000,10812000,6142200,8584200,11401000,2469200,3790800,2435100,3042600,10262000,2944700,10432000,13411000,4261500,9294100,7751200,6010700
KT3K,FN3KRP,3904500,3068400,3024200,4661200,4956900,7710400,14891000,3945900,5556600,4788100,1520100,2237800,1561500,780470,5622100,2622100,7300600,15802000,3360600,5538100,7402400,6318800
S25A3,SLC25A3,71429000,96109000,63374000,66305000,112440000,131610000,110090000,82045000,93877000,85904000,45442000,68403000,34954000,21417000,99943000,36283000,127200000,112330000,64418000,92340000,94799000,141430000
IDE,IDE,5657000,8265700,9831600,5695700,19243000,9449300,13066000,11854000,9381400,7032600,3678800,5134200,3896900,3219400,8550400,3353600,13209000,11815000,13173000,4319400,16116000,23839000
EI2BB,EIF2B2,500580,2692900,1411300,178360,3893200,2366200,4001100,1142200,2068900,788760,430930,105160,948570,278610,2037000,670980,2636600,2880600,1099800,1671100,2443900,1142100
IN35,IFI35,7624300,3706100,3719800,6342700,2057300,6935000,6086500,7788200,6006300,5380000,2531900,6598300,1782700,865410,4302500,1359600,6766500,7977000,5104400,3789100,3960500,11107000
IF2A,EIF2S1,30905000,60658000,43778000,27674000,74070000,29854000,71258000,23789000,55495000,54419000,18556000,28061000,24685000,5675000,31872000,13771000,64658000,104390000,18814000,30501000,36228000,65254000
QCR1,UQCRC1,62194000,78869000,58984000,78147000,116840000,90610000,113890000,54928000,69507000,94874000,42476000,39057000,55058000,25362000,71006000,35158000,109450000,90847000,65060000,78800000,79582000,142550000
CHSP1,CARHSP1,38765000,28860000,35439000,26692000,29841000,39309000,71693000,27805000,61896000,55095000,18494000,17745000,15649000,5163200,41349000,18700000,54581000,44391000,46887000,36902000,16067000,22549000
AMPD2,AMPD2,1910100,5412100,2320300,3412700,5966800,5727400,5021300,5310700,5929400,4337200,2378500,4908400,1634200,871260,3493800,2302100,3053900,5712900,3973500,3003400,5177400,6775400
RS14,RPS14,29296000,114090000,31460000,47851000,170770000,127290000,150060000,57651000,116120000,111820000,29640000,42013000,54060000,12859000,51490000,27433000,146480000,182850000,21830000,52495000,87880000,175110000
STABP,STAMBP,11402000,6923900,3351600,5452200,7546300,9921400,15042000,2051300,6493000,5004900,1685400,2214100,2493300,1362900,4427000,2556400,9856000,21038000,3297700,6105000,6567800,21078000
PLEC,PLEC,58923000,80788000,71672000,57373000,86752000,120940000,72327000,76177000,59520000,122540000,69375000,51625000,41857000,30032000,62169000,49617000,162070000,110200000,70489000,107050000,151240000,165750000
EMC4,EMC4,770660,1360900,3159100,2865100,5941700,2443200,4347600,4596600,4797900,3044000,999970,2069600,776380,1210500,3080200,1601000,2028000,1954100,1908100,2068300,4061900,2352000
OXSR1,OXSR1,10462000,19489000,14549000,14146000,15206000,16480000,18868000,10003000,11814000,22092000,5388600,8763100,6655300,5192200,16022000,6800400,16677000,17612000,12830000,13582000,11559000,27059000
PICAL,PICALM,12879000,24103000,23152000,15159000,45240000,26559000,25751000,17938000,19080000,44270000,11442000,15562000,6015900,2649800,45216000,10781000,39295000,58846000,12983000,45848000,23170000,47386000
IGKC,IGKC,677370000,846660000,945870000,554570000,771430000,1478800000,1315500000,1786900000,1543900000,1016300000,937660000,848730000,277530000,185530000,1784200000,625110000,303240000,211220000,1655800000,351000000,1867700000,1189200000
BABA1,BABAM1,2815500,5221200,4019800,1557800,5247500,7521900,3299800,2698300,5089900,6314400,4029300,3020400,1571500,1495200,5732000,1086600,8340300,8373800,2929600,5063400,4575400,7291300
LYRIC,MTDH,12181000,23492000,14785000,18690000,38376000,30972000,36550000,22080000,34811000,28589000,8602100,21341000,12951000,12950000,23865000,9590900,45183000,30896000,18517000,19318000,69430000,59114000
CUTA,CUTA,29548000,26086000,40376000,33760000,41029000,29231000,63529000,31716000,58001000,22214000,16775000,28108000,17420000,8769400,80251000,22771000,78048000,50136000,31603000,27844000,59567000,90376000
ALG5,ALG5,5228000,7847200,7176600,9797100,13572000,10338000,18814000,6980800,17347000,12501000,6490600,6649000,7296500,1660000,15377000,10072000,22987000,7599400,10585000,6662600,11413000,23221000
TBB6,TUBB6,37999000,94832000,55703000,44462000,50239000,113550000,57029000,48441000,39471000,113700000,27585000,37703000,20966000,10943000,49825000,13096000,81547000,143670000,42201000,33646000,68104000,84968000
DKC1,DKC1,8362600,17053000,10494000,10055000,15759000,11724000,13259000,7900700,12612000,14614000,5071100,5361700,6019300,1051200,12555000,3227600,13835000,15688000,5233100,6978600,7455100,34866000
CDK5,CDK5,655490,564400,1072400,530510,3001400,2040100,2470100,903710,271430,1355400,378060,524130,333310,NA,858630,233430,1663900,1131800,703580,1173900,2006800,3224000
TRI65,TRIM65,6463100,3886200,2144900,445450,1866200,7205400,7362100,1562400,2016900,5999300,2981600,2318900,1126100,957010,5257000,811690,3587800,9339500,1410200,3986400,2266900,3668200
MTL26,METTL26,157730,20304000,231380,46618,58919000,295870,123460000,161510,147250,12004000,86260,296780,10703000,16839000,118570,15337000,162580,29517000,17245000,298480,386690,291750
PECA1,PECAM1,8733300,6888300,22178000,10964000,21430000,11795000,8722800,23269000,11243000,24608000,4609200,14665000,8202800,9551600,23593000,6814100,10540000,15395000,18351000,26026000,14657000,40118000
RM45,MRPL45,2439900,2596700,3440900,1387800,1088600,2013500,6991500,3379700,4611400,1589700,1002100,1585200,4930100,151240,5579500,519940,6441400,8413500,3234000,2513700,2482600,6880700
1433F,YWHAH,39234000,71828000,42670000,42246000,93732000,94849000,75925000,66436000,88799000,100120000,10974000,14148000,31523000,16348000,59062000,27137000,72679000,94712000,49694000,60439000,75287000,104710000
SIAS,NANS,40110000,67160000,97403000,53914000,104770000,115460000,131870000,76313000,203220000,171530000,57082000,66763000,66931000,22568000,99651000,57323000,102460000,72302000,76556000,66942000,109530000,203220000
IF2B2,IGF2BP2,5164700,8728500,4294300,5579300,28290000,5436500,43863000,18497000,5762900,7482900,3900000,5971800,4912100,1288700,6792200,1220700,25624000,68763000,11067000,17002000,12446000,11034000
DUS23,DUSP23,462320,1393000,1118300,841420,1842700,1355200,1083600,726990,1924000,1199300,489190,433100,795870,404020,1310600,271710,4685100,2007100,771890,1223200,1685200,469130
EIF3L,EIF3L,10023000,21939000,17325000,19860000,51900000,38875000,40963000,19921000,20302000,21764000,8667800,11080000,11686000,6447400,20964000,12405000,44185000,43085000,19820000,20892000,29187000,67264000
TMED7,TMED7,28205000,23790000,22209000,28885000,46518000,27114000,31611000,30810000,47903000,24839000,13357000,26254000,18212000,14793000,29533000,16543000,47250000,25341000,22818000,18440000,31569000,29038000
TXLNA,TXLNA,1800000,10345000,3391800,3532200,10315000,6821300,3366000,2688000,1388600,6182000,1442800,3669000,2749300,1549600,3328900,1395400,11054000,12503000,521720,6806600,5528600,6550000
DOCK2,DOCK2,4084600,4366600,4479100,5012400,12964000,8163200,7515300,9942700,7227100,7810700,2351200,3878100,2039100,4699500,4999300,2777300,8581100,5613000,6946700,7572200,9428700,12584000
HV309,IGHV3-9,61674,4300500,269550,356420,259990,239350,4734400,385000,15951000,256120,1443900,552930,3217800,2645500,871730,2811700,12063000,3937700,1087300,4725000,7443700,916460
AIP,AIP,9818200,15829000,11103000,9791700,20247000,15681000,12959000,11173000,13538000,14260000,4055000,6505200,4956500,2760300,15954000,5863800,15624000,24485000,10862000,10687000,12228000,21419000
ARF4,ARF4,22262000,38012000,30060000,30399000,41812000,58811000,41556000,58228000,65023000,61131000,19097000,31482000,22551000,6782300,42632000,22331000,92706000,55772000,32137000,35667000,54427000,100610000
ACADV,ACADVL,96993000,73146000,34758000,37923000,72534000,63738000,41224000,39546000,47295000,59242000,23878000,83302000,33883000,10787000,46054000,23662000,77092000,74447000,31560000,38773000,68518000,85782000
CIP4,TRIP10,2056200,5955900,3578100,5466400,6275900,5224300,6084800,4741400,8336000,6102800,2154400,2886200,2779000,4587100,5147400,2559800,8654600,10403000,2362100,5611700,7282600,9864200
RBM3,RBM3,34572000,48477000,38545000,31614000,31069000,49132000,39455000,39499000,37690000,19678000,24943000,38153000,25805000,4733300,18165000,15389000,83108000,62908000,34825000,26699000,36397000,50043000
UBP47,USP47,1890800,2026600,2158900,1171700,2705300,2352000,2792200,9779000,1850400,1875400,14288000,866240,10100000,1185400,2450600,195340,4175900,5654500,1554300,742560,3019500,7853600
CATZ,CTSZ,47749000,56760000,105960000,101550000,144410000,121060000,106370000,66513000,102960000,148220000,42813000,83856000,32387000,47846000,89707000,59864000,359860000,156000000,43959000,180330000,64276000,87374000
IF2M,MTIF2,311290,451000,420150,297890,1127600,865200,849170,379580,438050,131050,3286700,162240,3089600,278630,1498700,122270,563280,6394000,303610,401940,10766000,658420
K1C19,KRT19,14074000,5338500,9481900,1912800,8421400,2816500,42690000,1213100,9970400,22699000,10342000,29482000,3111500,98319,16107000,65302000,123000000,154680000,624170,42843000,1697900,3456700
ACPM,NDUFAB1,477380,11912000,15214000,17462000,42261000,17254000,48148000,5139500,29665000,19967000,7932600,15739000,9235400,6560400,41937000,14904000,40805000,60921000,16001000,37837000,18621000,64936000
MAGD2,MAGED2,3006900,4289100,2805400,6115900,7743600,6506100,5578400,2098900,2114500,5706300,1823500,2507300,2394600,1216500,3389200,1792700,5116800,10697000,2812900,3552300,6575500,8827900
COPG2,COPG2,7837900,9228300,5594400,5272700,8114600,9352400,12168000,5511100,10474000,4183200,2446300,5042500,3800500,2476300,4437900,2575900,10152000,11872000,9553600,5405700,8059400,16309000
TSP3,THBS3,1140500,1825000,336050,390500,3117300,2696200,3205500,3010300,504790,1035800,333120,1744600,626460,389300,809470,259070,1444200,1259200,1863600,1149800,427600,3042000
STEA4,STEAP4,2612200,5903300,11333000,2759700,9638800,5603300,2834100,8045100,11271000,3809900,3938300,4649400,5521500,11762000,9122500,3058000,4822900,14349000,3098800,8893900,6117400,6838300
NSF,NSF,29019000,62711000,23917000,41918000,40601000,20454000,38288000,31838000,34377000,25674000,12517000,34750000,13789000,12390000,60953000,22404000,51225000,94393000,31998000,59590000,51445000,70739000
WDR11,WDR11,3145500,5428200,1757700,3237000,4654300,3940000,6421600,1507700,4547400,2672700,1444100,2217700,1722300,304850,4874600,1316800,5236700,6383400,2372000,2877500,3346600,6861900
PDIP2,POLDIP2,7536700,20832000,2692100,9013300,13248000,9644300,12889000,4820700,10078000,8307500,4282600,6908100,4525800,3578500,10975000,1557400,13066000,20266000,5879300,8361400,8923400,17100000
HS90B,HSP90AB1,186160000,443820000,243090000,377630000,595830000,469740000,681800000,171270000,329070000,452430000,109550000,162750000,188720000,110450000,277370000,102370000,584560000,653630000,179890000,260850000,278890000,1174600000
SFRP2,SFRP2,1525000,963210,708410,532390,1885400,3087000,2483700,17005000,3788300,1499200,1230000,1341100,1100700,481410,1874900,61107,3352200,4092200,2341700,2690100,1762600,5555400
TRI25,TRIM25,14332000,7920000,12193000,8092700,13170000,17460000,18150000,11283000,10561000,19859000,5391300,8642000,8053700,NA,14229000,3485900,19289000,38833000,8339600,17228000,21005000,29745000
PLAP,PLAA,6029700,8243600,5237000,3776900,9831800,7558300,9951700,6172400,3854000,6701500,2110100,2654400,4729600,2811600,4977500,2229800,9204700,8784400,4125400,7826400,7228000,19982000
TARSH,ABI3BP,4171400,5991500,6755400,6524400,13201000,6551900,14377000,16828000,13293000,8800100,3728100,1901600,2800600,1315300,2793200,3333800,13882000,17192000,15849000,7337900,7555500,14461000
VDAC2,VDAC2,173540000,160100000,105910000,124160000,374120000,232530000,184580000,119890000,75326000,137240000,105090000,108870000,96190000,46994000,135190000,39586000,271570000,344870000,125250000,245500000,187880000,345550000
ASSY,ASS1,30860000,35671000,11601000,5496000,22858000,16149000,10640000,15652000,24958000,16858000,5373900,13093000,25091000,3242700,43265000,8907100,15065000,10738000,12282000,11808000,19921000,86344000
ECH1,ECH1,22035000,78485000,45372000,43000000,88258000,44831000,174490000,29937000,74644000,37470000,24293000,40860000,35415000,13218000,42367000,22985000,136810000,84573000,50911000,92437000,57469000,95102000
NUB1,NUB1,2343100,4351800,288700,1148500,1510700,5047900,6240800,29045000,6322300,1821700,1021800,903280,3998500,14621000,3692700,1710000,1563500,5772200,538220,1893100,3116900,4924200
DDX18,DDX18,5644500,9561800,12331000,6214700,14444000,8443400,18191000,10585000,14133000,7175300,1916200,12325000,9042800,15067000,5750600,1578600,11421000,12929000,10947000,12521000,5201300,11250000
SARNP,SARNP,3784500,11489000,2766100,4233100,21221000,15714000,19922000,3032900,6344500,8439900,3860900,4675700,4148400,1717100,7162700,4270300,23506000,19274000,3070400,7960900,12296000,19531000
PSMD6,PSMD6,12067000,27628000,12792000,32811000,32723000,39314000,42904000,12602000,28273000,33260000,12080000,7706600,8118000,13648000,16835000,7833100,39236000,37383000,15940000,18310000,29299000,59163000
SYAP1,SYAP1,2267700,7496300,1336900,5776600,6755200,8114300,15585000,2014800,8315300,5575800,3856600,5259500,2560000,1541500,7849000,2127800,8626000,12659000,2504000,3760700,8399300,25289000
DDRGK,DDRGK1,3492500,13348000,9225600,8521200,25639000,12190000,18345000,9209200,16013000,25709000,7378800,14768000,7233200,3314900,12865000,4719600,30565000,25646000,7131200,9765900,10155000,23913000
NPS3A,NIPSNAP3A,8215800,17407000,9857300,10603000,11825000,18620000,10250000,8471000,15755000,13769000,6475900,7747800,8807300,7823500,21836000,4565100,18965000,7053400,11124000,19712000,17205000,28920000
TPST1,TPST1,13357000,339040,213410,224930,227780,347480,333920,331990,486900,179010,8805800,14372000,10004000,12237,30854000,45093,23481000,614730,161060,87303,122980,349040
RHG17,ARHGAP17,2099900,4335800,6567600,4538800,8153900,5694000,7409100,3530500,2349800,3960200,1886400,3190900,2977500,1515300,6401300,2565100,7261600,10366000,7141400,6232400,10862000,17616000
BT3A3,BTN3A3,1964200,4384200,1365500,1355700,4743600,3986400,2378800,2912200,5085500,2055000,428050,3879700,1938900,2079700,11770000,544570,3390300,4012500,4333300,4530500,4531500,7015200
APEX1,APEX1,53489000,69524000,61684000,51394000,114150000,80800000,99433000,58946000,72463000,45448000,19595000,46053000,43554000,32418000,78845000,30142000,130650000,116240000,57718000,71819000,83207000,78109000
CHCH1,CHCHD1,628750,4203400,2910600,669600,1909500,1186200,3519900,5187700,49719000,1246100,26228000,2778600,752250,15055000,2148800,2292700,2658000,2426600,2568900,811230,1648300,3317600
WDFY1,WDFY1,3221200,4857400,4312800,2608000,8670700,5793900,6517400,5289900,6657500,4704400,1939900,1976700,2725900,1740700,4177600,2605900,3741100,4575800,5046500,4148800,6862400,12563000
CD44,CD44,45461000,49622000,47130000,57374000,179050000,129300000,92913000,57813000,108580000,76158000,27825000,33880000,32240000,52735000,59750000,36611000,65371000,85453000,80502000,92615000,115680000,145520000
COTL1,COTL1,107060000,71379000,119270000,97520000,120550000,123750000,88408000,134120000,187750000,176850000,47611000,86821000,70225000,45625000,115040000,54278000,121390000,119540000,120650000,167550000,188690000,214650000
IBP7,IGFBP7,5721300,8142100,9253600,5707400,15719000,8877300,3753200,17993000,8430600,8561200,3617700,6933900,2213200,3000500,15804000,2896100,19805000,9547500,10425000,5717700,13351000,5314900
SSRD,SSR4,29727000,47137000,21962000,31889000,70397000,92238000,89486000,66365000,88798000,59725000,22701000,28296000,14743000,8802200,68655000,25034000,132310000,74440000,32382000,29766000,40761000,64622000
PADI2,PADI2,4125000,5092800,6807000,7555800,3757900,6738000,5004000,6860800,3328700,2187900,2393800,3727800,1002500,5883500,3434200,1682300,9293900,3805000,6831600,4031000,3875800,8546100
MK01,MAPK1,46917000,67966000,40828000,35994000,51045000,70535000,89354000,45322000,100230000,98955000,23196000,22207000,26358000,7665500,65417000,17504000,73560000,76747000,51741000,46210000,47444000,31931000
AUHM,AUH,449990,391740,490320,589710,941450,NA,317440,126510,1935600,1428800,715890,1678600,1390800,233170,1797300,447760,763790,896510,1238800,1628400,1291400,3328600
PCYOX,PCYOX1,41835000,20726000,21071000,14403000,30300000,23821000,62377000,10831000,42956000,11616000,9064000,23680000,17224000,7844500,46482000,8253900,99209000,43419000,29113000,47672000,41541000,20488000
PSA4,PSMA4,80078000,125200000,66334000,60829000,172770000,144990000,130290000,62460000,114390000,48686000,36185000,61304000,45092000,24354000,120930000,43027000,151970000,203710000,66226000,79864000,112460000,189000000
RAP2B,RAP2B,12205000,10946000,10696000,8827700,13741000,26620000,13903000,14697000,23609000,18103000,5892500,8934600,6604700,2721500,15406000,6385400,24764000,41527000,11367000,17710000,14655000,24475000
BCAT1,BCAT1,1729000,23257000,5120400,7493500,10396000,11853000,10386000,9998700,12954000,20054000,6765600,23753000,1879800,5039800,3279700,3000700,9294000,5675900,4834500,2182300,7498900,53450000
HBA,HBA1;,27500000000,20028000000,15372000000,13657000000,4291300000,5244000000,5301900000,19120000000,13228000000,24329000000,24460000000,28929000000,22312000000,16810000000,13647000000,22422000000,10512000000,5146000000,13279000000,15491000000,5556400000,3766600000
NTF2,NUTF2,222870000,130400000,126700000,72727000,92967000,117110000,87221000,80231000,143610000,159250000,55879000,74371000,72448000,28061000,118990000,50406000,147990000,145060000,92787000,95174000,87087000,160950000
PPIA,PPIA,1339800000,3615500000,1114300000,1210300000,1899800000,2361800000,2618800000,1202500000,1799600000,1728100000,622930000,774930000,909570000,454940000,1341000000,615780000,3023200000,4992500000,1271200000,1814800000,1439600000,2862800000
ANX11,ANXA11,87609000,51559000,91007000,52230000,43688000,71102000,55542000,58881000,78904000,97288000,32098000,53061000,41654000,41451000,85882000,33867000,74054000,143550000,63357000,52001000,58955000,161430000
RL24,RPL24,8928700,14064000,8748100,7893600,15657000,26279000,12695000,20550000,10016000,26814000,4986400,7337600,7463300,4111900,26869000,5259700,13577000,47521000,6295300,15612000,21306000,31109000
TOIP2,TOR1AIP2,3373800,4305400,2440700,2235400,6517100,5409800,4095600,2536300,2149400,4390200,395500,714000,1909800,268830,1217800,1811400,9647600,6389600,2966600,4533400,3677000,7547600
MYOME,PDE4DIP,1442100,1199000,1401300,1088300,1962400,1283800,165250,1717900,223030,867010,307400,409110,998240,883120,812710,309850,2676300,1004600,556740,993820,824750,1994000
SEC63,SEC63,25723000,11992000,5382600,14607000,11769000,10489000,10800000,5829800,15400000,10728000,9352700,4826100,3502100,3695100,30895000,10026000,15211000,10272000,4963700,50229000,9927000,13004000
SPB1,FTSJ3,860560,1377100,994310,774850,4265000,1045300,2230700,1104700,233880,537850,727470,351680,1425800,608410,1228000,96097,1269600,1748700,1034500,441700,1524500,3198800
GALD1,GATD1,3315900,19194000,10940000,3812100,5771500,7399300,7060500,3766100,3922900,6072900,2026100,4472300,1548500,17945000,8284800,2150100,9058200,10720000,7361300,6986900,5435400,8390900
RLA2,RPLP2,210080000,335650000,213910000,267840000,601340000,486390000,732230000,225570000,290370000,357320000,122670000,159850000,168480000,79941000,350720000,172700000,568260000,642930000,217430000,292800000,504220000,808460000
TMX4,TMX4,9880000,7163000,11539000,8205600,9731300,9776100,7204700,6169900,14326000,12427000,2908600,7597700,6442200,4821900,16074000,3177300,18961000,12636000,10124000,8473100,6602100,13866000
SAA4,SAA4,1868900,7074600,8059700,6710800,11032000,6362500,7639700,7568700,6243300,4514800,2095300,5624000,4168400,10875000,4336300,4026400,2027300,5629600,6039400,4607800,8092300,3106100
SURF4,SURF4,9722300,16213000,11287000,7942200,15502000,16350000,12654000,12838000,18276000,15053000,6475900,10965000,10222000,5694700,19646000,5710500,27424000,22318000,4206900,15166000,14514000,28004000
STT3A,STT3A,12720000,15614000,19078000,21332000,23733000,21894000,31379000,20576000,22972000,26985000,7357500,10822000,5692000,6431800,24591000,12264000,21437000,23309000,14154000,13799000,24249000,42308000
MAP2,METAP2,3803600,20028000,8755200,7760400,34784000,26383000,24621000,14544000,13620000,20059000,7718300,7508300,10884000,118910,16352000,4522200,30008000,34479000,4031300,12349000,16418000,38796000
ARHG6,ARHGEF6,6161000,5071000,5437000,3679400,6282900,5759400,4744500,11622000,5458400,8404500,2316900,4793600,2778700,2078800,6141800,2062600,5581500,7378600,5123900,6458200,7798600,8792300
STX6,STX6,1455000,1439200,1156700,527590,2763500,3150800,3097100,651090,1401000,2275400,731870,1754200,1843500,259360,3799200,565430,7000300,7047000,865350,3056900,3320600,4142700
PITH1,PITHD1,8638300,16004000,16226000,12870000,16540000,11417000,27747000,10770000,14588000,13396000,8458400,11221000,7320400,13650000,17339000,6953900,16360000,11950000,14423000,11584000,21141000,16989000
DEOC,DERA,10525000,8907600,8983800,4416200,9597100,11041000,9022200,2801600,5412300,11716000,2247100,4129200,3739100,1004000,7858200,4240000,10767000,9739300,7209500,5993600,11029000,15611000
WFS1,WFS1,5978900,7413000,7126300,5206500,18826000,11222000,11466000,3944000,13754000,10358000,2440100,2449800,4507300,1028400,8783800,3651600,3689700,6886500,3360200,8380800,4536200,27563000
SPCS2,SPCS2,5968600,5650500,12159000,6348900,8516900,14786000,16273000,16344000,18644000,17481000,4023800,9292700,2600600,3477800,12532000,10197000,14513000,11434000,8456800,7692400,21847000,28589000
MGAT1,MGAT1,4586500,4398100,2999600,5601500,6891100,6759500,6748700,9584500,9078600,6939600,2440500,4584200,3509900,1731400,6857000,2761700,6353100,7386700,4416800,4843000,4516400,7987900
DYSF,DYSF,4933200,2137000,5530600,6497300,9686700,4648400,8201500,6410500,3949400,6488400,3215100,2861700,5639300,7308000,8693100,1805700,8011900,7802200,5544800,6088800,9161900,18762000
OGFR,OGFR,1056300,4369500,2530300,3515100,9001300,5177100,5776700,1324300,3334400,4238000,1172700,2354400,2668200,976690,3946700,1556200,9755200,6927800,2690100,5022400,8326400,12007000
SLK,SLK,8307800,7312600,8565700,3996300,11218000,7597100,10124000,5194700,5984700,7685500,5186400,3518700,4939600,3019100,8454600,4127500,11644000,17519000,6171000,5078600,13021000,27271000
DHX30,DHX30,507910,7335300,1429600,5985200,1707500,2345600,3239500,828980,1223400,6997700,2973200,3939900,2940500,2338800,8495500,4003200,4960100,3242100,4826900,2693200,2654300,3121400
NT5C,NT5C,4678800,3764100,4189700,3490400,4859700,5758700,5102500,3081000,6021500,4254300,2327400,2468100,2037200,3504000,6807800,1774200,7579700,9001800,5374300,4517800,5452200,8127900
IGHG2,IGHG2,4935800,4859900,3249000,684350,1933700,10823000,2285700,4434900,7989400,5522700,809780,1664700,863850,NA,2828600,1153200,5260400,6819000,959590,62896,959420,499040
SYCM,CARS2,4519200,3378800,3097500,4500600,16626000,20606000,12754000,6559300,15376000,1674500,805080,7242200,1102500,1545000,4549800,2672700,7526200,241040,7494300,10439000,10675000,20205000
IQGA1,IQGAP1,126250000,143170000,141670000,87361000,150390000,214830000,210080000,126270000,195110000,244160000,73078000,127560000,88010000,45875000,238490000,66233000,300400000,424340000,113910000,115710000,135150000,211000000
CPIN1,CIAPIN1,7115500,6665800,5766200,7450200,13826000,14003000,12716000,4914500,9550200,1335100,3420400,2932700,5513400,1680800,6383400,2649900,15802000,17218000,5429700,7840800,14624000,17556000
YIPF3,YIPF3,10656000,8832400,6919900,5681600,12942000,9177100,11848000,3501200,7836600,4917000,2601100,5805700,4154600,2456800,8233500,3566800,18004000,16657000,3352900,5417100,8112700,16352000
VRK2,VRK2,910130,854370,1412600,6044700,5042600,386460,6939700,759300,2783700,1055900,135360,428270,782380,1163900,1235100,520330,219270,693440,NA,603650,560760,2066300
GET3,GET3,26883000,38515000,22535000,13863000,25592000,35364000,25723000,20309000,49258000,32114000,10823000,11137000,14339000,4180200,22129000,11853000,23446000,32472000,16011000,22172000,21178000,51537000
BAP31,BCAP31,19666000,20293000,20655000,13574000,56561000,26966000,17445000,16555000,54587000,34093000,10708000,11469000,9311000,6984000,16708000,8979400,33024000,36187000,13444000,25301000,26372000,9142600
NUP62,NUP62,13277000,20166000,12246000,12735000,20391000,18121000,20041000,9486300,7196100,14313000,11398000,16798000,8650600,3754300,11266000,5485800,21776000,31399000,8564000,12470000,11407000,31002000
SNX18,SNX18,2318800,5502100,4976600,5265200,8643200,7318100,1996600,9813800,5893300,5212200,3609600,6396600,4662000,1366700,3863700,1845800,10089000,2675500,7939500,4850400,3466100,8979500
AK1A1,AKR1A1,120550000,79576000,95076000,85805000,185660000,156320000,176630000,103160000,221980000,272720000,43203000,86337000,80490000,27823000,186700000,68679000,148730000,144970000,120470000,122050000,173900000,288380000
CIA2A,CIAO2A,1944700,3387300,1388800,1256800,4188500,2354500,3389700,2782200,4280500,4083200,1413400,21401000,1160000,369750,2065600,941030,3109200,3098300,1473400,1907300,1346800,3473600
ABCD3,ABCD3,13826000,8686700,8125200,9611000,17069000,13787000,25428000,8061100,16850000,9910200,4927000,6766800,11303000,2537800,7676100,5090600,15427000,18499000,7971300,12788000,10930000,31036000
RBMS2,RBMS2,1530500,1123800,187300,1679200,2222400,1507300,1612100,1982400,1464200,1214700,549350,1139200,716870,781450,1037700,677700,1310200,1332300,1290100,1090400,1496300,1605900
NLRX1,NLRX1,610860,2722800,341970,3440200,673690,2142800,1664100,370080,2989000,1333600,499200,1532400,328090,748490,564500,1173100,1224400,1175100,1348000,1268700,931960,1601000
GLOD4,GLOD4,21200000,41808000,25121000,26350000,45478000,56215000,56268000,24950000,53073000,36697000,14068000,23573000,19839000,8161900,40212000,21875000,37867000,48163000,37230000,32801000,29714000,56787000
AL9A1,ALDH9A1,43937000,62224000,58188000,43571000,90710000,71412000,67906000,50092000,62843000,62276000,23474000,31547000,38051000,16871000,66288000,23260000,56658000,55786000,67744000,57777000,76324000,116160000
MYH9,MYH9,80829000,120550000,93982000,127220000,234560000,222030000,229990000,97920000,112630000,79045000,45063000,68112000,59252000,138950000,92836000,61034000,183850000,278150000,96863000,126260000,185510000,340070000
MA2B1,MAN2B1,4372100,15529000,14812000,10298000,10925000,13648000,18698000,10783000,15007000,12922000,4049600,7342100,3534700,2959600,6931700,7710300,35511000,7530900,6626900,4662600,7637700,30860000
